Organisation Name,org_name_normalized,has_multiple_towns,has_multiple_counties,Town/City,County,Type & Rating,Route,raw_name_variants,match_status,match_error,best_candidate_score,best_candidate_title,best_candidate_company_number
3 YAAR LIMITED T/AS TANDOORI FUSION,3 yaar t as tandoori fusion,False,False,Wembley Park,Wembley,Worker (A rating),Skilled Worker,3 YAAR LIMITED T/AS TANDOORI FUSION,unmatched,,0.4381,HARBOUR TANDOORI FUSION LTD,15205569
3000 YEARS MUSIC PUBLISHING  LIMITED,3000 years music publishing,False,False,RISLEY,,Worker (A rating),Skilled Worker,3000 YEARS MUSIC PUBLISHING  LIMITED,unmatched,,0.527,THOUSAND YEARS MUSIC LTD,12776919
33 Herbs Limited T/A Swiss Butter,33 herbs t a swiss butter,False,False,London,,Worker (A rating),Skilled Worker,33 Herbs Limited T/A Swiss Butter,unmatched,,0.472,BUTTER OILS AND HERBS LTD,16988386
365 Care Homes Ltd T/A Delph House Care Home,365 care homes t a delph house care home,False,False,Littleport,Ely,Worker (A rating),Skilled Worker,365 Care Homes Ltd T/A Delph House Care Home,unmatched,,0.5236,ASHWOOD CHILDRENS CARE HOMES (ASPEN HOUSE) LTD,12425208
3A Tech Limited T/A Tech Fix,3a tech t a tech fix,False,False,Middlesbrough,North Yorkshire,Worker (A rating),Skilled Worker,3A Tech Limited T/A Tech Fix,unmatched,,0.58,TECH FIX LTD,13753903
3AK Slough Limited t/a J. Junaid Jamshed by Janan,3ak slough t a j junaid jamshed by janan,False,False,Slough,,Worker (A rating),Skilled Worker,3AK Slough Limited t/a J. Junaid Jamshed by Janan,unmatched,,0.49,JUNAID JAMSHED (SLOUGH) LTD.,06965942
3B Catering Ltd,3b catering,False,False,Inverness,Highland,Worker (A rating),Skilled Worker,3B Catering Ltd,unmatched,,0.5967,3 B CATERING LTD,SC702819
3D Coffee (Oadby) Limited T/A Costa Coffee,3d coffee oadby t a costa coffee,False,False,Dartford,Kent,Worker (A rating),Skilled Worker,3D Coffee (Oadby) Limited T/A Costa Coffee,unmatched,,0.6675,3D COFFEE (OADBY) LIMITED,07098567
3D Drumchapel,3d drumchapel,False,False,Glasgow,,Worker (A rating),Skilled Worker,3D Drumchapel,unmatched,,0.6077,DRUMCHAPEL LTD,13903539
3D Healthcare Ltd T/A Proheal Pharma,3d healthcare t a proheal pharma,False,False,Taunton,,Worker (A rating),Skilled Worker,3D Healthcare Ltd T/A Proheal Pharma,unmatched,,0.4925,3D HEALTHCARE LTD,15589608
3DEO,3deo,False,False,Belfast,Antrim,Worker (A rating),Skilled Worker,3DEO,unmatched,,0.6586,3DEO NI LIMITED,NI635341
3ES Accountants Limited,3es accountants,False,False,Harrow,,Worker (A rating),Skilled Worker,3ES Accountants Limited,unmatched,,0.655,3E'S ACCOUNTANTS LIMITED,07085187
3G Metal Fabrications Limited,3g metal fabrications,False,False,Leicester,,Worker (A rating),Skilled Worker,3G Metal Fabrications Limited,unmatched,,0.6667,AARAN METAL FABRICATIONS LTD,11301125
3KH Ltd T/A Tipu Sultan Birmingham,3kh t a tipu sultan birmingham,False,False,Birmingham,West Midlands,Worker (A rating),Skilled Worker,3KH Ltd T/A Tipu Sultan Birmingham,unmatched,,0.4614,TIPU SULTAN CATERING LIMITED,12568503
3Key Homes UK Limited T/as Aaran Central Guesthouse,3key homes t as aaran central guesthouse,False,False,Aberdeen,,Worker (A rating),Skilled Worker,3Key Homes UK Limited T/as Aaran Central Guesthouse,unmatched,,0.5771,AARAN CENTRAL GUESTHOUSE LTD,SC484365
3P Foods Ltd TA Heavenly Desserts,3p foods ta heavenly desserts,False,False,Birmingham,,Worker (A rating),Skilled Worker,3P Foods Ltd TA Heavenly Desserts,unmatched,,0.5397,HEAVENLY DESSERTS BOLTON LTD,11614539
3X Architecture LLP,3x architecture,False,False,London,,Worker (A rating),Skilled Worker,3X Architecture LLP,unmatched,,0.4533,3XARCHITECTURE LIMITED LIABILITY PARTNERSHIP,OC302594
4 GLOBAL CONSULTING LIMITED,4 global consulting,False,False,Chiswick,,Worker (A rating),Skilled Worker,4 GLOBAL CONSULTING LIMITED,unmatched,,0.68,4P GLOBAL CONSULTING LTD.,10653113
4 Net Technologies LTD (t/a FourNet),4 net technologies t a fournet,False,False,Manchester,Greater Manchester,Worker (A rating),Skilled Worker,4 Net Technologies LTD (t/a FourNet),unmatched,,0.5436,NET AVENUE TECHNOLOGIES PVT LTD T/A CBAZAAR,BR016129
4 Wall Entertainment UK Limited,4 wall entertainment,False,False,Harlow,,Worker (A rating),Skilled Worker,4 Wall Entertainment UK Limited,unmatched,,0.6167,GREAT WALL ENTERTAINMENT GROUP UK LTD,09209241
408 Media Group Ltd,408 media,False,False,Sandbach,Cheshire,Worker (A rating),Skilled Worker,408 Media Group Ltd,unmatched,,0.4722,BCOMP 408 LIMITED,07256717
41 Commercial Street Ltd T/A Xi'an BiangBiang Noodles,41 commercial street t a xi an biangbiang noodles,False,False,London,,Worker (A rating),Skilled Worker,41 Commercial Street Ltd T/A Xi'an BiangBiang Noodles,unmatched,,0.4933,41 COMMERCIAL STREET LTD,10956012
474 Management Limited T/a Duke Of Design,474 management t a duke of design,False,False,Greenford,,Worker (A rating),Skilled Worker,474 Management Limited T/a Duke Of Design,unmatched,,0.4379,474 SHORE ROAD MANAGEMENT COMPANY LIMITED,NI726638
4986 MILES LTD T/A GOAT,4986 miles t a goat,False,False,Upminster,,Worker (A rating),Skilled Worker,4986 MILES LTD T/A GOAT,unmatched,,0.5805,4986 MILES LTD,15199220
4CAST Limited  T/A Continuum Economics,4cast t a continuum economics,False,False,London,,Worker (A rating),Skilled Worker,4CAST Limited  T/A Continuum Economics,unmatched,,0.3955,BIRTH CONTINUUM LIMITED,10856402
4ME@U Ltd T/A Devoncare,4me u t a devoncare,False,False,Plymouth (Devon),Devon,Worker (A rating),Skilled Worker,4ME@U Ltd T/A Devoncare,unmatched,,0.3595,DEVONCARE LTD,10986966
4NCARE LTD,4ncare,False,False,Ipswich,Suffolk,Worker (A rating),Skilled Worker,4NCARE LTD,unmatched,,0.4729,4N CARE LTD,12182722
4You Hospitality Services Limited (Trading as Ravens Ait),4you hospitality services trading as ravens ait,False,False,Surbiton,Surrey,Worker (A rating),Skilled Worker,4You Hospitality Services Limited (Trading as Ravens Ait),unmatched,,0.5999,4YOU HOSPITALITY SERVICES LTD,10991850
4rmtech Consult Limited,4rmtech consult,False,False,Edinburgh,,Worker (A rating),Skilled Worker,4rmtech Consult Limited,unmatched,,0.655,4RM TECH CONSULT LIMITED,SC717847
5 Atlantic Ltd t/as Fish bowl Brixton,5 atlantic t as fish bowl brixton,False,False,London,,Worker (A rating),Skilled Worker,5 Atlantic Ltd t/as Fish bowl Brixton,unmatched,,0.5088,BRIXTON QUALITY FRESH FISH & SEAFOOD LTD,16434717
5 E Ltd,5 e,False,False,London,,Worker (A rating),Skilled Worker,5 E Ltd,unmatched,,0.2,5E ELEMENT LTD,11514858
5 Health Northwest Ltd T/ A iPharmacy Princess Road,5 health northwest t a ipharmacy princess road,False,False,Manchester,,Worker (A rating),Skilled Worker,5 Health Northwest Ltd T/ A iPharmacy Princess Road,unmatched,,0.5115,5 HEALTH NORTHWEST LTD,11653832
5 S Family Limited T/A New Haweli,5 s family t a new haweli,False,False,West Byfleet,,Worker (A rating),Skilled Worker,5 S Family Limited T/A New Haweli,unmatched,,0.5471,5 S FAMILY LIMITED,10662490
5 Star Dessert Confectionery Ltd T/A Treatz Dessert Parlour Wembley,5 star dessert confectionery t a treatz dessert parlour wembley,False,False,Carterton,,Worker (A rating),Skilled Worker,5 Star Dessert Confectionery Ltd T/A Treatz Dessert Parlour Wembley,unmatched,,0.4944,5 STAR DESSERT CONFECTIONERY LTD,09299424
555 Business Ltd T/A Subway,555 business t a subway,False,False,Newmarket,,Worker (A rating),Skilled Worker,555 Business Ltd T/A Subway,unmatched,,0.5787,555 BUSINESS LTD,11850938
5AAB Sports Ltd. T/As Wolfer,5aab sports t as wolfer,False,False,Slough,,Worker (A rating),Skilled Worker,5AAB Sports Ltd. T/As Wolfer,unmatched,,0.4813,5AAB SPORTS LIMITED,13394813
5C Group Services Ltd,5c services,False,False,Birmingham,,Worker (A rating),Skilled Worker,5C Group Services Ltd,unmatched,,0.6467,5 C GROUP SERVICES LTD,10560729
6 Bones Limited trading as Dirty Bones,6 bones trading as dirty bones,False,False,London,,Worker (A rating),Skilled Worker,6 Bones Limited trading as Dirty Bones,unmatched,,0.5333,DIRTY BONES FRANCHISING UK LIMITED,14222887
68 Mobile Solution Ltd t/a Mobile Solution,68 mobile solution t a mobile solution,False,False,Nottingham,England,Worker (A rating),Skilled Worker,68 Mobile Solution Ltd t/a Mobile Solution,unmatched,,0.6795,68 MOBILE SOLUTION LTD,14554997
7 Flavours Ltd T/A Roosters Piri Piri,7 flavours t a roosters piri piri,False,False,Eastleigh,,Worker (A rating),Skilled Worker,7 Flavours Ltd T/A Roosters Piri Piri,unmatched,,0.4623,ROOSTERS PIRI PIRI BELFAST LIMITED,NI725619
7 Ice Limited T/A The Jolly Farmers,7 ice t a the jolly farmers,False,False,Purley,Croydon,Worker (A rating),Skilled Worker,7 Ice Limited T/A The Jolly Farmers,unmatched,,0.559,THE JOLLY FARMERS,LP004672
7 Oaks News & Wine Store,7 oaks news wine store,False,False,Sevenoaks,,Worker (A rating),Skilled Worker,7 Oaks News & Wine Store,unmatched,,0.6591,PICTON NEWS & WINE STORE LTD,15564869
7 TO 7 NEWS LIMITED T/A PREMIER STORE,7 to 7 news t a premier store,False,False,HERNE BAY,,Worker (A rating),Skilled Worker,7 TO 7 NEWS LIMITED T/A PREMIER STORE,unmatched,,0.4589,7 TO 7 NEWS LIMITED,07069509
72 Point Limited,72 point,False,False,Bristol,,Worker (A rating),Skilled Worker,72 Point Limited,unmatched,,0.4,72POINT LTD,04092908
73 WR Ltd T/A Pizza Hut Delivery,73 wr t a pizza hut delivery,False,False,Peterborough,Cambridgeshire,Worker (A rating),Skilled Worker,73 WR Ltd T/A Pizza Hut Delivery,unmatched,,0.4178,CIRENCESTER PIZZA & CHICKEN HUT LTD,16073324
