Organisation Name,ch_company_number,ch_company_name,ch_sic_codes,sic_tech_score,is_active_score,company_age_score,company_type_score,name_keyword_score,role_fit_score,role_fit_bucket
Agent Software Limited,09751817,AGENT SOFTWARE LIMITED,62012,0.5,0.1,0.12,0.08,0.05,0.85,strong
Alchemy Software Ltd,07693470,ALCHEMY SOFTWARE LTD,62090,0.5,0.1,0.12,0.08,0.05,0.85,strong
Alfa Financial Software Ltd,02482325,ALFA FINANCIAL SOFTWARE LIMITED,62012;62020,0.5,0.1,0.12,0.08,0.05,0.85,strong
Algiz Technology Limited,08822048,ALGIZ TECHNOLOGY LIMITED,62090,0.5,0.1,0.12,0.08,0.05,0.85,strong
Algorithms Software UK Ltd,04304925,ALGORITHMS SOFTWARE UK LIMITED,62090,0.5,0.1,0.12,0.08,0.05,0.85,strong
Allan Controls & Automation Ltd,03916731,ALLAN CONTROLS & AUTOMATION LIMITED,62012,0.5,0.1,0.12,0.08,0.05,0.85,strong
Allied Digital Services UK Ltd,07806050,ALLIED DIGITAL SERVICES (UK) LTD,62020,0.5,0.1,0.12,0.08,0.05,0.85,strong
Allied Software Ltd,SC397493,ALLIED SOFTWARE LTD,62020,0.5,0.1,0.12,0.08,0.05,0.85,strong
Allocate Software Ltd,02814942,ALLOCATE SOFTWARE LIMITED,62020,0.5,0.1,0.12,0.08,0.05,0.85,strong
Alphatec Software Limited,SC164246,ALPHATEC SOFTWARE LIMITED,62090,0.5,0.1,0.12,0.08,0.05,0.85,strong
Amadeus Software Limited,02618399,AMADEUS SOFTWARE LIMITED,62020,0.5,0.1,0.12,0.08,0.05,0.85,strong
Analytics Engines Limited,NI070848,ANALYTICS ENGINES LIMITED,62012;62020;72190;74100,0.5,0.1,0.12,0.08,0.05,0.85,strong
Analytics SEO Limited,05796620,ANALYTICS SEO LIMITED,62090,0.5,0.1,0.12,0.08,0.05,0.85,strong
Aneto Digital Services Ltd,08479904,ANETO DIGITAL SERVICES LTD,62012;62020,0.5,0.1,0.12,0.08,0.05,0.85,strong
Ansimicro Software UK Limited,09512334,ANSIMICRO SOFTWARE (UK) LIMITED,62020,0.5,0.1,0.12,0.08,0.05,0.85,strong
Appmetric Software Limited,07495340,APPMETRIC SOFTWARE LIMITED,62020,0.5,0.1,0.12,0.08,0.05,0.85,strong
Aquarium Software Limited,05802151,AQUARIUM SOFTWARE LTD,62012,0.5,0.1,0.12,0.08,0.05,0.85,strong
Arctic Lake Technology Ltd,09659202,ARCTIC LAKE TECHNOLOGY LTD,62012,0.5,0.1,0.12,0.08,0.05,0.85,strong
Argus Software (UK) Ltd,02511981,ARGUS SOFTWARE (UK) LTD.,62012,0.5,0.1,0.12,0.08,0.05,0.85,strong
Ascent Digital Services UK Ltd,04560258,ASCENT DIGITAL SERVICES UK LIMITED,62012,0.5,0.1,0.12,0.08,0.05,0.85,strong
Aspirant Analytics Ltd,08406864,ASPIRANT ANALYTICS LTD,62012,0.5,0.1,0.12,0.08,0.05,0.85,strong
Aspire technology solutions,06031628,ASPIRE TECHNOLOGY SOLUTIONS LTD,62020,0.5,0.1,0.12,0.08,0.05,0.85,strong
Astute Data Systems Ltd,03168444,ASTUTE DATA SYSTEMS LIMITED,62012,0.5,0.1,0.12,0.08,0.05,0.85,strong
Atcore Technology Limited,03698178,ATCORE TECHNOLOGY LIMITED,62012;63110,0.5,0.1,0.12,0.08,0.05,0.85,strong
Automation Logic Limited,07093444,AUTOMATION LOGIC LTD,62012;62020;62090,0.5,0.1,0.12,0.08,0.05,0.85,strong
